Nº,Formation,Min,Sh,G,ShA,GA,xG,xGA,xGD,xG90,xGA90,Año,Club
9,4-5-1,5,0,0,2,0,0.00,0.77+0.77,-0.77,0.00,13.93,2018,Newcastle_United
1,4-4-2,1760,218,34,245,31,32.03-1.97,27.63-3.37,4.40,1.64,1.41,2018,Bournemouth
2,4-4-1-1,718,108,11,109,12,12.63+1.63,16.98+4.98,-4.35,1.58,2.13,2018,Bournemouth
3,3-4-3,296,42,3,48,6,4.59+1.59,5.29-0.71,-0.69,1.40,1.61,2018,Bournemouth
4,5-4-1,179,4,1,38,4,0.72-0.28,4.45+0.45,-3.73,0.36,2.24,2018,Bournemouth
5,3-4-2-1,165,25,0,21,3,2.01+2.01,3.18+0.18,-1.17,1.10,1.74,2018,Bournemouth
6,4-3-3,141,17,3,18,2,3.32+0.32,2.35+0.35,0.97,2.12,1.50,2018,Bournemouth
7,4-2-3-1,69,8,2,8,1,1.39-0.61,0.78-0.22,0.61,1.81,1.02,2018,Bournemouth
8,3-5-2,68,6,1,7,3,0.68-0.32,2.58-0.42,-1.89,0.90,3.41,2018,Bournemouth
9,4-5-1,61,6,0,13,3,0.18+0.18,1.45-1.55,-1.26,0.27,2.14,2018,Bournemouth
10,4-1-4-1,54,3,0,7,4,0.49+0.49,1.26-2.74,-0.77,0.82,2.11,2018,Bournemouth
11,3-4-1-2,31,5,1,3,0,2.07+1.07,0.08+0.08,1.98,6.00,0.25,2018,Bournemouth
12,4-1-3-2,22,5,0,0,0,0.41+0.41,0.00,0.41,1.69,0.00,2018,Bournemouth
13,5-3-2,12,0,0,7,1,0.00,1.08+0.08,-1.08,0.00,8.13,2018,Bournemouth
1,4-4-2,2595,279,34,465,43,37.97+3.97,50.33+7.33,-12.37,1.32,1.75,2018,Burnley
2,4-4-1-1,704,61,9,154,18,5.78-3.22,15.91-2.09,-10.13,0.74,2.03,2018,Burnley
3,5-3-2,162,12,2,18,6,2.54+0.54,3.06-2.94,-0.51,1.41,1.70,2018,Burnley
4,5-4-1,94,4,0,15,1,0.45+0.45,1.75+0.75,-1.30,0.43,1.68,2018,Burnley
5,4-2-2-2,9,2,0,2,0,0.71+0.71,0.08+0.08,0.63,7.09,0.79,2018,Burnley
6,4-3-1-2,9,3,0,2,0,0.31+0.31,0.08+0.08,0.23,3.11,0.81,2018,Burnley
7,4-3-3,4,0,0,1,0,0.00,0.08+0.08,-0.08,0.00,1.83,2018,Burnley
1,3-4-2-1,1094,132,21,183,17,19.90-1.10,17.56+0.56,2.33,1.64,1.44,2018,Southampton
2,4-4-2,915,154,6,111,11,13.27+7.27,11.68+0.68,1.59,1.31,1.15,2018,Southampton
3,3-5-2,328,34,3,34,4,3.55+0.55,5.02+1.02,-1.46,0.98,1.38,2018,Southampton
4,4-2-3-1,278,45,4,38,8,4.09+0.09,5.33-2.67,-1.23,1.33,1.72,2018,Southampton
5,4-3-2-1,174,25,2,28,6,2.69+0.69,5.00-1.00,-2.31,1.39,2.58,2018,Southampton
6,5-4-1,128,10,1,21,1,0.45-0.55,0.95-0.05,-0.49,0.32,0.67,2018,Southampton
7,3-4-1-2,125,18,3,19,3,1.01-1.99,1.19-1.81,-0.18,0.73,0.86,2018,Southampton
8,4-1-4-1,121,17,1,24,5,1.23+0.23,6.05+1.05,-4.81,0.92,4.50,2018,Southampton
9,4-2-2-2,119,17,2,15,1,2.19+0.19,1.13+0.13,1.06,1.66,0.85,2018,Southampton
10,3-5-1-1,87,5,0,23,2,0.92+0.92,2.69+0.69,-1.78,0.95,2.79,2018,Southampton
11,3-4-3,74,2,0,10,0,0.05+0.05,1.24+1.24,-1.19,0.06,1.50,2018,Southampton
12,4-3-3,59,14,1,4,3,2.25+1.25,1.61-1.39,0.64,3.44,2.45,2018,Southampton
13,4-3-1-2,45,8,0,6,1,0.92+0.92,1.07+0.07,-0.15,1.84,2.13,2018,Southampton
14,5-3-2,27,3,1,5,2,0.10-0.90,2.10+0.10,-2.01,0.32,7.01,2018,Southampton
15,4-4-1-1,15,2,0,3,1,0.05+0.05,0.08-0.92,-0.02,0.30,0.45,2018,Southampton
1,4-3-3,1123,139,9,174,20,12.46+3.46,19.33-0.67,-6.87,1.00,1.55,2018,Brighton
2,4-4-1-1,1080,100,14,190,18,11.96-2.04,19.62+1.62,-7.67,1.00,1.64,2018,Brighton
3,4-5-1,806,72,9,129,13,7.51-1.49,13.61+0.61,-6.11,0.84,1.52,2018,Brighton
4,4-1-4-1,360,31,1,67,8,3.13+2.13,8.00,-4.88,0.78,2.00,2018,Brighton
5,4-4-2,184,29,2,22,1,2.32+0.32,2.93+1.93,-0.61,1.14,1.43,2018,Brighton
1,4-1-4-1,1247,126,10,186,22,16.04+6.04,20.96-1.04,-4.91,1.16,1.51,2018,Cardiff
2,4-4-1-1,989,128,13,172,26,13.70+0.70,22.65-3.35,-8.95,1.25,2.06,2018,Cardiff
3,4-2-3-1,468,54,5,70,4,6.31+1.31,6.32+2.32,-0.00,1.21,1.21,2018,Cardiff
4,4-4-2,211,27,2,36,6,1.88-0.12,4.44-1.56,-2.56,0.80,1.90,2018,Cardiff
5,3-1-4-2,95,17,2,15,1,1.10-0.90,1.00,0.09,1.04,0.95,2018,Cardiff
6,5-4-1,94,9,0,31,0,1.06+1.06,2.45+2.45,-1.39,1.01,2.35,2018,Cardiff
7,4-3-3,94,10,0,8,0,1.11+1.11,0.59+0.59,0.52,1.07,0.57,2018,Cardiff
8,4-1-2-1-2,93,12,0,13,2,0.70+0.70,3.45+1.45,-2.75,0.68,3.34,2018,Cardiff
9,3-4-1-2,84,4,1,11,0,0.82-0.18,1.09+1.09,-0.27,0.88,1.17,2018,Cardiff
10,3-4-3,69,11,0,8,3,0.98+0.98,1.57-1.43,-0.59,1.28,2.05,2018,Cardiff
11,3-5-2,59,10,1,8,1,0.48-0.52,1.01+0.01,-0.53,0.73,1.54,2018,Cardiff
12,3-5-1-1,45,3,0,6,2,0.10+0.10,1.18-0.82,-1.08,0.20,2.36,2018,Cardiff
13,4-5-1,35,7,0,7,2,0.23+0.23,1.18-0.82,-0.95,0.59,3.05,2018,Cardiff
1,4-2-3-1,1274,192,15,208,28,18.86+3.86,24.06-3.94,-5.20,1.33,1.70,2018,Fulham
2,4-3-3,813,102,10,154,18,8.58-1.42,21.45+3.45,-12.87,0.95,2.38,2018,Fulham
3,3-4-3,726,89,7,93,19,10.82+3.82,14.95-4.05,-4.13,1.34,1.85,2018,Fulham
4,4-4-1-1,182,16,1,39,5,1.80+0.80,4.95-0.05,-3.15,0.89,2.45,2018,Fulham
5,5-3-2,111,8,0,22,1,0.61+0.61,2.50+1.50,-1.88,0.50,2.03,2018,Fulham
6,4-1-2-1-2,93,9,0,16,2,0.29+0.29,2.20+0.20,-1.91,0.28,2.13,2018,Fulham
7,5-4-1,83,5,0,22,2,0.63+0.63,2.12+0.12,-1.48,0.69,2.29,2018,Fulham
8,4-3-1-2,73,11,0,13,2,0.78+0.78,1.12-0.88,-0.34,0.96,1.38,2018,Fulham
9,4-4-2,67,11,1,9,2,1.25+0.25,2.05+0.05,-0.80,1.68,2.76,2018,Fulham
10,3-4-1-2,47,4,0,6,0,0.15+0.15,0.17+0.17,-0.02,0.30,0.33,2018,Fulham
11,4-2-2-2,46,6,0,3,0,0.22+0.22,0.14+0.14,0.08,0.43,0.28,2018,Fulham
12,4-1-4-1,20,0,0,2,1,0.00,0.23-0.77,-0.23,0.00,1.02,2018,Fulham
13,3-4-2-1,17,2,0,1,1,0.06+0.06,0.54-0.46,-0.48,0.32,2.87,2018,Fulham
1,4-2-3-1,892,121,7,115,14,9.22+2.22,14.10+0.10,-4.88,0.93,1.42,2018,Huddersfield
2,3-5-1-1,592,72,4,75,8,4.04+0.04,9.45+1.45,-5.41,0.61,1.44,2018,Huddersfield
3,4-3-3,417,44,4,77,10,4.85+0.85,9.02-0.98,-4.16,1.05,1.95,2018,Huddersfield
4,4-4-1-1,335,37,2,55,10,3.25+1.25,8.13-1.87,-4.88,0.87,2.18,2018,Huddersfield
5,4-1-2-1-2,329,33,0,34,4,1.71+1.71,5.01+1.01,-3.30,0.47,1.37,2018,Huddersfield
6,5-4-1,253,24,2,45,8,2.52+0.52,4.97-3.03,-2.46,0.89,1.77,2018,Huddersfield
7,3-4-1-2,137,18,2,13,2,2.13+0.13,1.53-0.47,0.59,1.40,1.01,2018,Huddersfield
8,4-1-4-1,123,7,0,27,6,0.21+0.21,4.58-1.42,-4.37,0.15,3.35,2018,Huddersfield
9,4-4-2,116,5,1,37,7,0.66-0.34,5.90-1.10,-5.23,0.51,4.58,2018,Huddersfield
10,4-3-2-1,93,14,0,3,0,0.39+0.39,0.12+0.12,0.27,0.38,0.12,2018,Huddersfield
11,3-4-3,81,11,0,7,1,0.74+0.74,0.75-0.25,-0.00,0.83,0.83,2018,Huddersfield
12,3-5-2,68,8,0,12,1,0.36+0.36,1.61+0.61,-1.25,0.48,2.13,2018,Huddersfield
13,4-5-1,67,2,0,10,3,0.09+0.09,1.72-1.28,-1.63,0.12,2.31,2018,Huddersfield
14,4-3-1-2,25,2,0,12,1,0.12+0.12,1.52+0.52,-1.40,0.43,5.48,2018,Huddersfield
15,4-2-2-2,12,4,0,0,0,0.13+0.13,0.00,0.13,1.01,0.00,2018,Huddersfield
16,5-3-2,7,0,0,1,1,0.00,0.38-0.62,-0.38,0.00,4.86,2018,Huddersfield
1,4-2-3-1,2126,429,74,215,17,65.79-8.21,23.55+6.55,42.24,2.79,1.00,2019,Bayern_Munich
2,4-3-3,422,73,10,48,4,10.87+0.87,5.68+1.68,5.19,2.32,1.21,2019,Bayern_Munich
3,4-1-4-1,370,80,11,32,3,13.86+2.86,4.23+1.23,9.63,3.37,1.03,2019,Bayern_Munich
4,3-4-2-1,125,28,4,7,3,4.54+0.54,1.87-1.13,2.67,3.27,1.35,2019,Bayern_Munich
5,4-4-1-1,81,7,1,16,5,1.04+0.04,3.05-1.95,-2.01,1.16,3.39,2019,Bayern_Munich
6,4-4-2,12,1,0,0,0,0.07+0.07,0.00,0.07,0.49,0.00,2019,Bayern_Munich
1,4-2-3-1,1100,148,26,138,20,19.41-6.59,17.21-2.79,2.20,1.59,1.41,2019,Borussia_Dortmund
2,3-4-2-1,1034,128,26,104,6,21.64-4.36,9.82+3.82,11.82,1.88,0.85,2019,Borussia_Dortmund
3,3-4-3,802,130,27,82,13,18.56-8.44,11.84-1.16,6.72,2.08,1.33,2019,Borussia_Dortmund
4,4-4-2,111,19,3,16,0,2.94-0.06,3.35+3.35,-0.41,2.38,2.71,2019,Borussia_Dortmund
5,4-1-4-1,75,12,2,10,2,2.08+0.08,2.67+0.67,-0.59,2.50,3.21,2019,Borussia_Dortmund
6,4-3-3,38,8,0,3,0,0.43+0.43,0.79+0.79,-0.35,1.03,1.87,2019,Borussia_Dortmund
1,4-4-2,768,156,26,82,5,27.83+1.83,9.54+4.54,18.29,3.26,1.12,2019,RasenBallsport_Leipzig
2,4-2-2-2,632,114,18,58,12,16.18-1.82,8.20-3.80,7.98,2.30,1.17,2019,RasenBallsport_Leipzig
3,3-1-4-2,401,69,10,42,3,7.80-2.20,2.65-0.35,5.16,1.75,0.59,2019,RasenBallsport_Leipzig
4,3-4-3,388,51,9,46,2,9.38+0.38,4.07+2.07,5.31,2.18,0.94,2019,RasenBallsport_Leipzig
5,3-4-2-1,189,37,2,12,3,3.34+1.34,1.46-1.54,1.88,1.59,0.70,2019,RasenBallsport_Leipzig
6,4-2-3-1,171,29,5,21,3,3.04-1.96,2.01-0.99,1.03,1.60,1.06,2019,RasenBallsport_Leipzig
7,4-1-2-1-2,158,19,3,22,5,2.09-0.91,2.46-2.54,-0.38,1.19,1.40,2019,RasenBallsport_Leipzig
8,3-4-1-2,155,27,4,14,1,3.42-0.58,2.26+1.26,1.16,1.98,1.31,2019,RasenBallsport_Leipzig
9,4-3-1-2,128,24,2,26,1,2.07+0.07,2.76+1.76,-0.68,1.46,1.94,2019,RasenBallsport_Leipzig
10,3-5-2,98,20,1,11,1,1.55+0.55,1.06+0.06,0.49,1.42,0.97,2019,RasenBallsport_Leipzig
11,3-5-1-1,54,4,0,13,1,0.60+0.60,1.26+0.26,-0.66,1.00,2.09,2019,RasenBallsport_Leipzig
12,5-3-2,25,2,1,5,0,0.39-0.61,0.28+0.28,0.11,1.41,1.01,2019,RasenBallsport_Leipzig
1,4-2-3-1,1594,253,36,218,25,43.26+7.26,24.03-0.97,19.23,2.44,1.36,2019,Borussia_M.Gladbach
2,4-3-1-2,443,71,8,74,2,9.97+1.97,5.97+3.97,4.01,2.03,1.21,2019,Borussia_M.Gladbach
3,4-1-2-1-2,315,50,7,40,2,7.64+0.64,3.49+1.49,4.15,2.18,1.00,2019,Borussia_M.Gladbach
4,4-3-3,314,52,9,55,4,8.26-0.74,4.75+0.75,3.51,2.37,1.36,2019,Borussia_M.Gladbach
5,3-4-1-2,189,15,2,31,2,1.34-0.66,2.14+0.14,-0.80,0.64,1.02,2019,Borussia_M.Gladbach
6,3-4-2-1,161,21,2,17,4,3.51+1.51,2.48-1.52,1.03,1.96,1.39,2019,Borussia_M.Gladbach
7,3-5-2,96,10,2,23,1,2.10+0.10,2.13+1.13,-0.03,1.97,2.00,2019,Borussia_M.Gladbach
8,3-4-3,55,9,0,4,0,0.41+0.41,0.93+0.93,-0.53,0.67,1.53,2019,Borussia_M.Gladbach
9,5-3-2,10,1,0,3,0,0.11+0.11,0.57+0.57,-0.46,1.03,5.13,2019,Borussia_M.Gladbach
1,4-2-3-1,1710,284,35,185,23,40.23+5.23,25.84+2.84,14.40,2.12,1.36,2019,Bayer_Leverkusen
2,3-4-3,606,78,13,87,10,10.45-2.55,11.47+1.47,-1.02,1.55,1.70,2019,Bayer_Leverkusen
3,4-1-4-1,379,64,4,48,2,6.64+2.64,5.59+3.59,1.05,1.58,1.33,2019,Bayer_Leverkusen
4,3-4-2-1,262,35,4,35,6,3.08-0.92,6.20+0.20,-3.11,1.06,2.13,2019,Bayer_Leverkusen
5,3-4-1-2,94,25,2,11,2,3.96+1.96,0.50-1.50,3.46,3.79,0.48,2019,Bayer_Leverkusen
6,4-3-2-1,68,7,2,6,0,1.13-0.87,0.57+0.57,0.56,1.50,0.76,2019,Bayer_Leverkusen
7,4-3-3,48,4,1,2,1,1.47+0.47,0.71-0.29,0.76,2.76,1.34,2019,Bayer_Leverkusen
8,5-3-2,9,0,0,5,0,0.00,0.54+0.54,-0.54,0.00,5.44,2019,Bayer_Leverkusen
1,4-2-3-1,906,118,11,177,20,13.78+2.78,21.61+1.61,-7.84,1.37,2.15,2019,Hoffenheim
2,3-1-4-2,708,112,18,83,8,17.09-0.91,9.19+1.19,7.90,2.17,1.17,2019,Hoffenheim
3,3-4-2-1,376,45,6,66,5,7.08+1.08,6.77+1.77,0.31,1.70,1.62,2019,Hoffenheim
4,4-1-4-1,293,30,5,47,4,3.82-1.18,4.90+0.90,-1.08,1.17,1.51,2019,Hoffenheim
5,3-5-2,229,38,6,22,3,6.12+0.12,3.08+0.08,3.04,2.40,1.21,2019,Hoffenheim
6,4-3-3,159,18,1,23,3,1.38+0.38,3.82+0.82,-2.44,0.78,2.16,2019,Hoffenheim
7,5-3-2,153,22,3,25,1,3.19+0.19,2.70+1.70,0.49,1.88,1.59,2019,Hoffenheim
8,3-4-3,93,22,1,13,5,2.15+1.15,3.10-1.90,-0.95,2.08,3.00,2019,Hoffenheim
9,3-4-1-2,93,24,0,15,2,1.76+1.76,1.37-0.63,0.39,1.70,1.32,2019,Hoffenheim
10,4-4-1-1,63,2,0,19,1,0.03+0.03,2.69+1.69,-2.66,0.04,3.84,2019,Hoffenheim
11,4-4-2,47,9,2,5,0,1.72-0.28,0.84+0.84,0.88,3.28,1.60,2019,Hoffenheim
12,4-1-2-1-2,31,10,0,3,0,0.96+0.96,0.45+0.45,0.50,2.78,1.32,2019,Hoffenheim
13,4-2-2-2,25,3,0,2,1,0.17+0.17,0.63-0.37,-0.47,0.60,2.28,2019,Hoffenheim
1,3-4-2-1,1147,148,13,137,10,16.83+3.83,9.91-0.09,6.92,1.32,0.78,2019,Wolfsburg
2,4-4-2,707,108,16,89,11,15.05-0.95,12.52+1.52,2.54,1.92,1.59,2019,Wolfsburg
3,4-3-3,502,77,9,67,14,9.31+0.31,9.77-4.23,-0.47,1.67,1.75,2019,Wolfsburg
4,4-4-1-1,245,42,2,27,3,4.37+2.37,2.94-0.06,1.43,1.61,1.08,2019,Wolfsburg
5,4-1-4-1,187,47,3,13,2,3.98+0.98,2.47+0.47,1.51,1.92,1.19,2019,Wolfsburg
6,4-2-3-1,186,27,2,19,4,2.12+0.12,2.98-1.02,-0.86,1.03,1.44,2019,Wolfsburg
7,3-4-3,93,13,1,15,1,1.75+0.75,1.36+0.36,0.39,1.70,1.31,2019,Wolfsburg
8,4-3-2-1,51,6,1,4,1,0.75-0.25,0.21-0.79,0.54,1.32,0.37,2019,Wolfsburg
9,5-3-2,47,6,1,9,0,0.98-0.02,0.35+0.35,0.63,1.87,0.67,2019,Wolfsburg
1,4-2-2-2,789,133,15,146,9,16.35+1.35,13.78+4.78,2.56,1.86,1.57,2019,Freiburg
2,3-4-2-1,772,85,8,137,9,7.87-0.13,12.95+3.95,-5.08,0.92,1.51,2019,Freiburg
3,4-4-2,557,76,5,98,8,5.55+0.55,11.48+3.48,-5.94,0.90,1.86,2019,Freiburg
4,3-4-1-2,516,76,13,114,6,10.05-2.95,12.66+6.66,-2.61,1.75,2.21,2019,Freiburg
5,3-4-3,254,29,5,56,4,4.25-0.75,5.05+1.05,-0.80,1.50,1.79,2019,Freiburg
6,4-2-3-1,195,37,0,27,6,3.18+3.18,4.49-1.51,-1.31,1.47,2.07,2019,Freiburg
7,3-1-4-2,63,10,0,11,3,1.05+1.05,2.21-0.79,-1.16,1.50,3.16,2019,Freiburg
8,5-4-1,36,3,2,15,2,0.48-1.52,2.25+0.25,-1.76,1.21,5.62,2019,Freiburg
1,3-4-1-2,1042,173,20,149,18,19.21-0.79,17.94-0.06,1.27,1.66,1.55,2019,Eintracht_Frankfurt
2,3-1-4-2,706,126,15,104,14,15.20+0.20,13.41-0.59,1.79,1.94,1.71,2019,Eintracht_Frankfurt
3,4-2-3-1,393,42,3,63,13,5.12+2.12,9.90-3.10,-4.79,1.17,2.27,2019,Eintracht_Frankfurt
4,4-4-1-1,392,58,10,62,4,7.57-2.43,5.20+1.20,2.37,1.74,1.19,2019,Eintracht_Frankfurt
5,3-5-2,282,57,6,21,5,8.15+2.15,3.19-1.81,4.96,2.60,1.02,2019,Eintracht_Frankfurt
6,3-4-2-1,239,37,5,22,1,5.34+0.34,1.34+0.34,4.00,2.01,0.51,2019,Eintracht_Frankfurt
7,4-4-2,59,4,0,12,3,0.13+0.13,1.53-1.47,-1.40,0.20,2.34,2019,Eintracht_Frankfurt
8,4-5-1,46,5,0,6,2,0.31+0.31,0.97-1.03,-0.66,0.60,1.89,2019,Eintracht_Frankfurt
9,4-1-3-2,25,2,0,4,0,0.15+0.15,0.16+0.16,-0.01,0.54,0.59,2019,Eintracht_Frankfurt
1,4-2-3-1,1089,118,20,152,14,16.55-3.45,18.20+4.20,-1.66,1.37,1.50,2019,Hertha_Berlin
2,4-1-4-1,536,54,5,91,6,7.81+2.81,7.78+1.78,0.03,1.31,1.31,2019,Hertha_Berlin
3,4-4-2,458,76,11,65,11,9.01-1.99,9.85-1.15,-0.85,1.77,1.94,2019,Hertha_Berlin
4,3-4-1-2,331,38,6,44,5,4.75-1.25,6.09+1.09,-1.33,1.29,1.66,2019,Hertha_Berlin
5,3-1-4-2,185,26,2,38,6,3.56+1.56,3.82-2.18,-0.26,1.73,1.86,2019,Hertha_Berlin
6,4-4-1-1,145,13,1,27,5,1.73+0.73,2.88-2.12,-1.15,1.07,1.79,2019,Hertha_Berlin
7,4-3-1-2,129,8,1,24,5,1.11+0.11,3.73-1.27,-2.62,0.77,2.60,2019,Hertha_Berlin
8,3-4-3,81,5,1,8,2,0.39-0.61,1.13-0.87,-0.74,0.43,1.25,2019,Hertha_Berlin
9,4-3-3,68,7,0,7,1,0.74+0.74,1.03+0.03,-0.29,0.98,1.37,2019,Hertha_Berlin
10,3-5-2,47,6,0,3,1,0.51+0.51,0.69-0.31,-0.18,0.99,1.32,2019,Hertha_Berlin
11,4-5-1,46,5,0,13,1,0.25+0.25,1.47+0.47,-1.22,0.49,2.87,2019,Hertha_Berlin
12,5-3-2,31,4,1,9,1,1.04+0.04,0.84-0.16,0.20,3.02,2.44,2019,Hertha_Berlin
13,5-4-1,20,1,0,2,1,0.02+0.02,0.78-0.22,-0.76,0.07,3.50,2019,Hertha_Berlin
14,3-3-3-1,5,2,0,0,0,0.12+0.12,0.00,0.12,2.18,0.00,2019,Hertha_Berlin
1,3-4-2-1,1237,157,16,182,26,17.43+1.43,22.20-3.80,-4.77,1.27,1.62,2019,Union_Berlin
2,4-4-2,492,68,5,81,9,6.65+1.65,11.18+2.18,-4.54,1.22,2.05,2019,Union_Berlin
3,3-4-1-2,467,60,7,76,8,7.70+0.70,9.09+1.09,-1.39,1.48,1.75,2019,Union_Berlin
4,3-4-3,464,62,5,60,7,6.00+1.00,5.53-1.47,0.48,1.16,1.07,2019,Union_Berlin
5,4-1-4-1,280,33,6,48,1,4.27-1.73,2.73+1.73,1.54,1.37,0.88,2019,Union_Berlin
6,4-2-3-1,141,12,1,28,5,2.18+1.18,3.71-1.29,-1.53,1.39,2.37,2019,Union_Berlin
7,4-3-3,94,11,1,17,2,0.76-0.24,2.33+0.33,-1.57,0.72,2.23,2019,Union_Berlin
8,4-5-1,12,2,0,2,0,0.09+0.09,0.04+0.04,0.05,0.67,0.29,2019,Union_Berlin
1,4-2-3-1,916,121,14,139,14,11.95-2.05,15.93+1.93,-3.98,1.17,1.56,2019,Schalke_04
2,4-1-2-1-2,819,95,8,145,14,11.32+3.32,15.39+1.39,-4.06,1.24,1.69,2019,Schalke_04
3,4-4-2,644,90,12,93,14,9.77-2.23,12.90-1.10,-3.13,1.37,1.80,2019,Schalke_04
4,4-1-3-2,371,34,2,49,5,3.11+1.11,6.84+1.84,-3.73,0.75,1.66,2019,Schalke_04
5,3-4-3,140,18,1,14,4,1.34+0.34,1.75-2.25,-0.41,0.86,1.13,2019,Schalke_04
6,4-3-3,92,11,0,10,3,1.08+1.08,1.60-1.40,-0.52,1.06,1.56,2019,Schalke_04
7,5-4-1,85,8,1,11,2,0.70-0.30,1.50-0.50,-0.80,0.74,1.59,2019,Schalke_04
8,3-4-2-1,55,5,0,4,1,0.22+0.22,0.25-0.75,-0.04,0.36,0.42,2019,Schalke_04
9,4-1-4-1,30,5,0,1,1,0.10+0.10,0.52-0.48,-0.42,0.31,1.57,2019,Schalke_04
10,3-5-2,10,0,0,2,0,0.00,0.25+0.25,-0.25,0.00,2.29,2019,Schalke_04
1,4-2-3-1,1296,197,18,186,23,20.66+2.66,24.17+1.17,-3.51,1.43,1.68,2019,Mainz_05
2,4-3-1-2,467,85,4,71,12,6.91+2.91,8.42-3.58,-1.51,1.33,1.62,2019,Mainz_05
3,4-4-2,355,49,8,54,3,6.70-1.30,5.20+2.20,1.50,1.70,1.32,2019,Mainz_05
4,3-4-1-2,287,40,6,55,3,4.44-1.56,6.20+3.20,-1.77,1.39,1.95,2019,Mainz_05
5,3-4-2-1,182,32,0,25,4,2.51+2.51,3.97-0.03,-1.46,1.24,1.97,2019,Mainz_05
6,3-4-3,158,11,3,27,3,2.85-0.15,2.49-0.51,0.36,1.62,1.42,2019,Mainz_05
7,4-1-2-1-2,132,15,2,26,5,1.62-0.38,4.08-0.92,-2.46,1.10,2.78,2019,Mainz_05
8,4-2-2-2,93,7,0,20,1,0.24+0.24,2.02+1.02,-1.78,0.23,1.95,2019,Mainz_05
9,5-4-1,72,11,1,12,4,0.74-0.26,2.16-1.84,-1.41,0.93,2.70,2019,Mainz_05
10,4-1-4-1,46,3,0,13,5,0.04+0.04,3.53-1.47,-3.49,0.08,6.91,2019,Mainz_05
11,4-4-1-1,40,2,0,7,1,0.73+0.73,0.83-0.17,-0.09,1.65,1.86,2019,Mainz_05
12,4-3-3,15,0,0,5,0,0.00,0.24+0.24,-0.24,0.00,1.42,2019,Mainz_05
13,5-3-2,13,3,2,8,1,1.12-0.88,0.91-0.09,0.21,7.72,6.27,2019,Mainz_05
1,4-2-3-1,1982,282,36,302,45,37.45+1.45,36.99-8.01,0.47,1.70,1.68,2019,FC_Cologne
2,3-4-1-2,265,28,5,29,4,2.83-2.17,3.16-0.84,-0.33,0.96,1.07,2019,FC_Cologne
3,4-4-2,239,27,3,35,6,2.62-0.38,5.94-0.06,-3.32,0.99,2.24,2019,FC_Cologne
4,4-2-2-2,169,20,0,22,2,1.24+1.24,2.22+0.22,-0.98,0.66,1.18,2019,FC_Cologne
5,4-1-4-1,162,18,3,9,0,2.84-0.16,0.33+0.33,2.51,1.58,0.18,2019,FC_Cologne
6,4-1-3-2,115,12,2,18,2,1.66-0.34,1.92-0.08,-0.26,1.30,1.50,2019,FC_Cologne
7,4-4-1-1,93,14,0,11,2,0.77+0.77,1.79-0.21,-1.02,0.75,1.73,2019,FC_Cologne
8,4-3-1-2,54,10,1,6,1,0.93-0.07,1.07+0.07,-0.14,1.55,1.79,2019,FC_Cologne
9,4-3-3,47,2,1,11,3,0.48-0.52,1.71-1.29,-1.23,0.92,3.28,2019,FC_Cologne
10,3-1-4-2,33,1,0,7,3,0.09+0.09,1.21-1.79,-1.13,0.23,3.31,2019,FC_Cologne
11,3-5-2,14,2,0,3,1,0.08+0.08,0.67-0.33,-0.60,0.50,4.33,2019,FC_Cologne
1,4-2-3-1,1836,228,27,254,29,28.31+1.31,33.30+4.30,-4.99,1.39,1.63,2019,Augsburg
2,4-4-2,657,73,11,112,15,9.95-1.05,13.79-1.21,-3.83,1.36,1.89,2019,Augsburg
3,4-2-2-2,360,38,4,60,9,3.49-0.51,7.67-1.33,-4.18,0.87,1.92,2019,Augsburg
4,5-4-1,114,8,0,10,3,0.68+0.68,1.23-1.77,-0.55,0.54,0.97,2019,Augsburg
5,4-5-1,95,8,2,15,3,1.10-0.90,3.22+0.22,-2.12,1.05,3.05,2019,Augsburg
6,4-1-4-1,93,8,1,23,3,0.83-0.17,2.17-0.83,-1.33,0.81,2.10,2019,Augsburg
7,4-4-1-1,9,0,0,3,1,0.00,0.98-0.02,-0.98,0.00,9.80,2019,Augsburg
1,4-3-3,1007,144,11,162,23,11.54+0.54,18.28-4.72,-6.73,1.03,1.63,2019,Werder_Bremen
2,3-4-3,716,88,9,96,12,9.84+0.84,10.77-1.23,-0.93,1.24,1.35,2019,Werder_Bremen
3,4-1-2-1-2,484,61,9,77,8,6.85-2.15,7.61-0.39,-0.76,1.27,1.41,2019,Werder_Bremen
4,3-4-2-1,186,21,0,27,4,0.62+0.62,4.45+0.45,-3.83,0.30,2.15,2019,Werder_Bremen
5,3-1-4-2,181,26,1,40,9,1.45+0.45,8.01-0.99,-6.56,0.72,3.98,2019,Werder_Bremen
6,4-4-2,123,19,1,22,3,1.65+0.65,2.69-0.31,-1.04,1.21,1.97,2019,Werder_Bremen
7,3-5-2,116,11,0,18,3,1.10+1.10,2.04-0.96,-0.93,0.86,1.58,2019,Werder_Bremen
8,4-1-3-2,98,16,2,13,1,2.15+0.15,2.00+1.00,0.15,1.97,1.84,2019,Werder_Bremen
9,4-3-2-1,95,18,2,10,3,0.85-1.15,1.05-1.95,-0.20,0.80,1.00,2019,Werder_Bremen
10,4-2-3-1,93,11,2,19,2,0.99-1.01,1.78-0.22,-0.79,0.96,1.72,2019,Werder_Bremen
11,3-4-1-2,93,11,5,18,1,3.46-1.54,1.97+0.97,1.49,3.34,1.91,2019,Werder_Bremen
