Club,Nº jugadores,Edad,Extranjeros,Media valor mercado,Valor de mercado,Año,Liga
Reims,40,23.5,27,3.74 mill. €,149.40 mill. €,2021,ligue-1
Montpellier,36,24.8,16,4.02 mill. €,144.60 mill. €,2021,ligue-1
Strasbourg,33,24.8,15,3.64 mill. €,120.05 mill. €,2021,ligue-1
Bordeaux,54,24,33,2.16 mill. €,116.85 mill. €,2021,ligue-1
Nantes,31,25.6,13,3.63 mill. €,112.65 mill. €,2021,ligue-1
Saint-Etienne,44,24,20,2.40 mill. €,105.65 mill. €,2021,ligue-1
Brest,30,25.4,9,3.44 mill. €,103.15 mill. €,2021,ligue-1
Metz,41,25,27,2.22 mill. €,91.05 mill. €,2021,ligue-1
Angers,38,25.4,19,2.36 mill. €,89.50 mill. €,2021,ligue-1
Troyes,50,24.6,25,1.46 mill. €,73.20 mill. €,2021,ligue-1
Lorient,35,25.4,13,1.75 mill. €,61.30 mill. €,2021,ligue-1
Clermont Foot,39,25.1,20,1.41 mill. €,55.10 mill. €,2021,ligue-1
Paris Saint Germain,26,25.7,17,34.40 mill. €,894.40 mill. €,2022,ligue-1
Rennes,28,24.1,12,11.57 mill. €,323.95 mill. €,2022,ligue-1
Monaco,27,23.9,15,11.22 mill. €,302.90 mill. €,2022,ligue-1
Marseille,23,26,17,10.28 mill. €,236.35 mill. €,2022,ligue-1
Lyon,25,25.5,9,8.30 mill. €,207.50 mill. €,2022,ligue-1
Nice,27,24,17,7.08 mill. €,191.10 mill. €,2022,ligue-1
Lille,23,25.7,14,8.07 mill. €,185.70 mill. €,2022,ligue-1
Lens,27,25.7,16,5.89 mill. €,158.95 mill. €,2022,ligue-1
Nantes,29,25.7,11,4.10 mill. €,118.85 mill. €,2022,ligue-1
Montpellier,28,25.3,11,3.71 mill. €,103.90 mill. €,2022,ligue-1
Strasbourg,26,26.5,11,3.59 mill. €,93.30 mill. €,2022,ligue-1
Lorient,26,24.4,13,3.54 mill. €,92.10 mill. €,2022,ligue-1
Reims,26,24.1,17,3.33 mill. €,86.55 mill. €,2022,ligue-1
Troyes,29,25.1,16,2.42 mill. €,70.10 mill. €,2022,ligue-1
Brest,24,25.2,9,2.74 mill. €,65.80 mill. €,2022,ligue-1
Toulouse,30,24.2,26,2.16 mill. €,64.75 mill. €,2022,ligue-1
Angers,30,24.7,14,2.02 mill. €,60.50 mill. €,2022,ligue-1
Auxerre,33,25.5,19,1.35 mill. €,44.50 mill. €,2022,ligue-1
Clermont Foot,23,26,13,1.43 mill. €,32.80 mill. €,2022,ligue-1
Ajaccio,29,28.6,15,850 mil €,24.65 mill. €,2022,ligue-1
