Club,Nº jugadores,Edad,Extranjeros,Media valor mercado,Valor de mercado,Año,Liga
Chievo,68,24.7,32,804 mil €,54.70 mill. €,2018,serie-a
Frosinone,44,25.8,10,1.24 mill. €,54.53 mill. €,2018,serie-a
Juventus,38,26.8,23,17.42 mill. €,661.88 mill. €,2019,serie-a
Inter,34,26.7,18,17.83 mill. €,606.05 mill. €,2019,serie-a
Napoli,33,26.7,24,16.61 mill. €,548.28 mill. €,2019,serie-a
AC Milan,37,25.2,22,10.93 mill. €,404.33 mill. €,2019,serie-a
Roma,36,25.6,23,10.91 mill. €,392.73 mill. €,2019,serie-a
Lazio,34,26.1,24,8.94 mill. €,303.88 mill. €,2019,serie-a
Fiorentina,42,24.7,28,7.20 mill. €,302.23 mill. €,2019,serie-a
Atalanta,37,24.9,26,7.88 mill. €,291.43 mill. €,2019,serie-a
Sassuolo,44,24.3,18,3.82 mill. €,167.98 mill. €,2019,serie-a
Cagliari,41,25.8,16,4.09 mill. €,167.83 mill. €,2019,serie-a
Torino,37,24.7,17,4.42 mill. €,163.55 mill. €,2019,serie-a
Genoa,43,26.2,25,3.31 mill. €,142.38 mill. €,2019,serie-a
Sampdoria,38,25.1,19,3.56 mill. €,135.28 mill. €,2019,serie-a
Bologna,40,24.5,26,3.24 mill. €,129.65 mill. €,2019,serie-a
Parma Calcio 1913,40,26.1,19,3.22 mill. €,128.75 mill. €,2019,serie-a
Udinese,39,24.9,28,3.10 mill. €,121.08 mill. €,2019,serie-a
Verona,40,25.0,19,2.81 mill. €,112.53 mill. €,2019,serie-a
Brescia,33,25.9,11,2.52 mill. €,83.23 mill. €,2019,serie-a
SPAL 2013,42,25.6,23,1.75 mill. €,73.63 mill. €,2019,serie-a
Lecce,47,25.0,17,1.11 mill. €,52.33 mill. €,2019,serie-a
Paris Saint Germain,39,24.9,22,25.90 mill. €,1.01 mil mill. €,2018,ligue-1
Lyon,34,23.7,17,13.76 mill. €,467.95 mill. €,2018,ligue-1
Monaco,57,23.4,36,6.77 mill. €,385.83 mill. €,2018,ligue-1
Lille,32,23.7,24,8.36 mill. €,267.55 mill. €,2018,ligue-1
Marseille,33,26.1,16,7.83 mill. €,258.35 mill. €,2018,ligue-1
Nice,38,22.7,17,4.82 mill. €,183.20 mill. €,2018,ligue-1
Bordeaux,43,23.8,23,4.16 mill. €,179.00 mill. €,2018,ligue-1
Rennes,41,23.8,16,4.11 mill. €,168.45 mill. €,2018,ligue-1
Saint-Etienne,42,24.3,17,3.13 mill. €,131.25 mill. €,2018,ligue-1
Nantes,40,24.6,27,2.99 mill. €,119.50 mill. €,2018,ligue-1
Toulouse,40,24.1,19,2.83 mill. €,113.25 mill. €,2018,ligue-1
Montpellier,32,25.7,16,3.43 mill. €,109.85 mill. €,2018,ligue-1
Strasbourg,33,25.2,14,2.97 mill. €,98.00 mill. €,2018,ligue-1
Nimes,31,25.0,14,2.84 mill. €,88.15 mill. €,2018,ligue-1
Reims,37,24.5,22,2.35 mill. €,86.95 mill. €,2018,ligue-1
Angers,38,26.5,19,2.10 mill. €,79.70 mill. €,2018,ligue-1
Guingamp,37,25.3,16,1.91 mill. €,70.65 mill. €,2018,ligue-1
Amiens,36,25.4,18,1.96 mill. €,70.50 mill. €,2018,ligue-1
Caen,39,24.8,19,1.73 mill. €,67.55 mill. €,2018,ligue-1
Dijon,32,25.8,18,2.06 mill. €,65.80 mill. €,2018,ligue-1
Paris Saint Germain,35,25.2,25,24.98 mill. €,874.15 mill. €,2019,ligue-1
Lyon,33,24.0,20,11.65 mill. €,384.55 mill. €,2019,ligue-1
Monaco,39,25.3,27,8.49 mill. €,331.03 mill. €,2019,ligue-1
Lille,31,23.7,21,7.99 mill. €,247.78 mill. €,2019,ligue-1
Marseille,34,24.3,12,6.36 mill. €,216.15 mill. €,2019,ligue-1
Nice,37,23.1,18,4.69 mill. €,173.45 mill. €,2019,ligue-1
Rennes,33,25.0,15,5.21 mill. €,171.88 mill. €,2019,ligue-1
Bordeaux,31,25.0,19,4.04 mill. €,125.35 mill. €,2019,ligue-1
