Club,Goles,Tiros pp,Amarillas,Rojas,Posesión (%),Acierto Pase (%),Aéreos,Rating,Año,Pais
AC Milan,63,16.3,93,6,53.6,84.5,14.6,6.79,2019,Italia
Sassuolo,69,14.6,97,3,56.1,86.8,9.4,6.74,2019,Italia
Napoli,61,18.1,74,2,57.2,88.2,10.8,6.73,2019,Italia
Torino,46,11.7,87,7,48.5,79.7,19.3,6.7,2019,Italia
Fiorentina,51,14.4,99,6,48.2,81.6,12.8,6.67,2019,Italia
Parma Calcio 1913,56,12.2,81,1,45.3,79.4,15.1,6.67,2019,Italia
Verona,47,11.7,83,7,49.9,78.1,19.6,6.66,2019,Italia
Udinese,37,12.3,73,3,45.9,81.2,13.3,6.64,2019,Italia
Cagliari,52,11.7,103,6,46.6,80.5,14.4,6.62,2019,Italia
Bologna,52,14.6,103,7,51.8,81.7,17.8,6.61,2019,Italia
Sampdoria,48,14.8,101,7,44.4,77.5,16.3,6.6,2019,Italia
Lecce,52,13.9,93,5,46,81.8,13.1,6.55,2019,Italia
Genoa,47,11.4,97,10,49.3,81.2,16.5,6.54,2019,Italia
Brescia,35,11,89,6,42.9,75.5,13.7,6.48,2019,Italia
SPAL 2013,27,12.3,95,4,47.6,81.1,15.1,6.48,2019,Italia
Juventus,70,16,74,4,54.9,86.2,14.7,6.93,2018,Italia
Napoli,74,18.6,70,5,56.8,87.3,10.7,6.91,2018,Italia
Atalanta,77,16.9,61,3,55.7,84,16.8,6.9,2018,Italia
Roma,66,16.4,86,2,51,82.4,19.8,6.86,2018,Italia
Torino,52,13.7,87,4,51,78.2,22.5,6.83,2018,Italia
Inter,57,16.7,71,3,56.9,86.3,14.2,6.82,2018,Italia
AC Milan,55,15.4,78,5,53.4,85.6,13.4,6.82,2018,Italia
Lazio,56,16.1,88,4,50.5,82.3,16.8,6.8,2018,Italia
Sampdoria,60,12.8,87,3,53.7,83.2,13.1,6.74,2018,Italia
Fiorentina,47,15.4,88,5,50.4,79.2,17.3,6.71,2018,Italia
Udinese,39,12.2,88,4,44.8,77.9,19,6.68,2018,Italia
Bologna,48,13.2,87,6,46.2,77.9,20.3,6.67,2018,Italia
Sassuolo,53,13.5,84,8,53.1,84,12.7,6.66,2018,Italia
Genoa,39,14,92,7,44.7,75.1,20.5,6.64,2018,Italia
SPAL 2013,44,12.2,111,3,50.4,82.5,15.7,6.64,2018,Italia
Cagliari,36,11.5,90,9,49.4,79,23.1,6.62,2018,Italia
Empoli,51,12,72,3,48.2,81.5,11.7,6.6,2018,Italia
Parma Calcio 1913,41,9.3,80,3,41,74.5,15.4,6.59,2018,Italia
Frosinone,29,12,99,2,43.1,76.5,17.2,6.51,2018,Italia
Chievo,25,10.3,104,7,44.7,78.1,19.2,6.48,2018,Italia
Paris Saint Germain,75,16.6,49,1,61.8,89.9,8.8,7.11,2019,Francia
Lyon,42,12.9,48,4,27.6,85,16.7,6.84,2019,Francia
Marseille,41,13.4,67,3,52.8,82.4,17.5,6.82,2019,Francia
Rennes,38,12.2,51,1,50,80.5,18.6,6.8,2019,Francia
Monaco,44,13.6,59,10,19.3,82.6,15,6.74,2019,Francia
Montpellier,35,12.6,53,5,47.9,77.9,22.6,6.74,2019,Francia
Nice,41,12.1,51,7,54.2,87.1,10.5,6.74,2019,Francia
Reims,26,12.1,46,5,49.5,79.8,16.3,6.74,2019,Francia
Strasbourg,32,12.1,45,1,26.1,80.5,19.6,6.72,2019,Francia
Nantes,28,11.9,50,2,48.3,79.3,17.4,6.72,2019,Francia
Metz,27,11.1,46,4,46.8,78.7,17.1,6.72,2019,Francia
Bordeaux,40,11.1,56,0,53,82.9,18.3,6.72,2019,Francia
Lille,35,12.5,49,3,51.7,81.1,18.1,6.72,2019,Francia
Dijon,27,12,42,2,47.5,79.3,20.2,6.69,2019,Francia
Brest,34,11.6,45,2,49.6,79.9,14.9,6.68,2019,Francia
Angers,28,13,41,2,46.2,80.1,16.9,6.65,2019,Francia
Nimes,29,12.8,40,6,27.7,73.8,22,6.64,2019,Francia
Saint-Etienne,29,11,57,3,48.6,78.9,19.8,6.6,2019,Francia
Toulouse,22,11.3,47,5,45.4,78.1,17.2,6.51,2019,Francia
Amiens,31,8.4,55,4,16.7,77.4,18,6.5,2019,Francia
Paris Saint Germain,105,14.8,64,4,60.4,88.9,11,7.05,2018,Francia
Lyon,70,17.7,53,3,58.2,85.9,16.6,6.91,2018,Francia
Lille,68,13.1,70,4,51.1,81.1,15.4,6.84,2018,Francia
Montpellier,53,13.4,59,4,48.3,78.5,20.3,6.81,2018,Francia
Saint-Etienne,59,13.1,59,7,51.5,81.1,16.6,6.78,2018,Francia
Marseille,60,13.9,82,8,53.5,82.4,18.9,6.78,2018,Francia
Nice,30,11.6,71,5,54.6,86,14.3,6.76,2018,Francia
Nimes,57,13.7,68,5,46.7,74.4,19.2,6.75,2018,Francia
Strasbourg,58,10.6,69,4,49.8,80.5,17.3,6.73,2018,Francia
Rennes,55,12.4,66,3,50.7,81.2,17.1,6.73,2018,Francia
Reims,39,10.7,67,2,45.1,75.9,17.9,6.72,2018,Francia
Nantes,48,13.6,70,6,49.8,76.7,21.2,6.71,2018,Francia
Angers,44,11.9,49,4,22.3,79.2,16.8,6.7,2018,Francia
Bordeaux,34,11.2,75,5,22.3,80.3,18.1,6.67,2018,Francia
Toulouse,35,11.4,73,5,48.7,77.8,19.7,6.62,2018,Francia
Monaco,38,12.3,89,7,49.7,80.5,16.8,6.61,2018,Francia
Caen,29,8.8,75,6,45.8,76.4,21.1,6.59,2018,Francia
Dijon,31,12,71,7,48.3,78.2,19.2,6.59,2018,Francia
Amiens,31,10.2,56,6,47.3,75.9,19.5,6.57,2018,Francia
Guingamp,28,10.9,58,5,45.4,75.2,21.3,6.55,2018,Francia
